Species,Cladename,wing_length,tail_length,tarsus_length,middle_toe_length,bill_length,bill_width,bill_depth
Platysmurus leucopterus,core_Corvoidea,186.0,177.5,36.5,26.4,39.6,18.0,20.3
Platysteira cyanea,core_Corvoidea,65.5,53.0,18.8,11.0,16.9,7.1,5.9
Platysteira peltata,core_Corvoidea,70.5,55.0,21.4,10.8,17.8,8.2,5.3
Podoces biddulphi,core_Corvoidea,151.0,111.0,46.0,25.6,53.9,14.2,13.2
Prionops plumatus,core_Corvoidea,107.8,88.5,22.5,15.1,22.8,10.2,7.9
Prionops retzii,core_Corvoidea,123.3,90.5,22.4,16.1,22.7,10.7,7.8
Prionops scopifrons,core_Corvoidea,98.0,74.5,19.4,13.0,22.0,10.0,7.8
Pseudobias wardi,core_Corvoidea,79.0,58.0,14.6,9.2,15.9,8.7,5.2
Psophodes cristatus,core_Corvoidea,92.0,99.0,23.4,20.4,16.5,7.9,8.0
Psophodes olivaceus,core_Corvoidea,97.0,129.7,32.9,22.7,21.5,9.3,9.0
Ptiloris magnificus,core_Corvoidea,177.0,108.0,41.2,31.4,49.7,14.0,11.9
Ptiloris paradiseus,core_Corvoidea,147.0,96.5,34.0,28.0,58.1,13.7,11.5
Ptilorrhoa caerulescens,core_Corvoidea,89.3,97.0,31.1,18.6,23.4,7.7,6.5
Ptilorrhoa castanonota,core_Corvoidea,92.0,101.0,33.3,22.9,27.1,9.5,7.9
Ptilorrhoa leucosticta,core_Corvoidea,84.0,94.0,31.8,23.1,22.6,7.4,6.8
Pyrrhocorax pyrrhocorax,core_Corvoidea,302.0,155.0,57.0,35.7,58.6,16.6,16.2
Rhagologus leucostigma,core_Corvoidea,84.5,61.5,21.1,14.4,17.0,7.0,6.4
Rhipidura fuliginosa,core_Corvoidea,75.0,85.0,15.9,11.5,8.7,4.1,3.0
Rhipidura javanica,core_Corvoidea,78.0,87.0,18.3,9.4,16.1,5.9,3.9
Rhipidura leucophrys,core_Corvoidea,100.0,106.0,25.4,16.0,13.6,5.6,4.3
Rhipidura leucothorax,core_Corvoidea,76.0,84.0,20.0,11.8,18.8,7.1,4.5
Rhipidura perlata,core_Corvoidea,83.0,80.0,13.8,7.4,15.9,5.3,3.9
Rhipidura rufidorsa,core_Corvoidea,65.0,69.0,16.3,8.9,13.2,5.3,3.8
Rhipidura rufiventris,core_Corvoidea,85.0,80.0,14.3,8.5,17.5,6.8,4.1
Rhipidura threnothorax,core_Corvoidea,80.0,95.0,21.2,11.4,17.8,6.3,4.2
Rhodophoneus cruentus,core_Corvoidea,93.0,116.0,31.4,18.3,22.6,10.3,8.6
Schetba rufa,core_Corvoidea,101.5,71.5,22.0,18.3,23.1,10.7,9.0
Seleucidis melanoleucus,core_Corvoidea,176.5,105.5,45.0,33.1,60.9,13.8,10.8
Semioptera wallacii,core_Corvoidea,151.0,87.0,42.0,30.8,43.2,15.1,13.8
Sphecotheres viridis,core_Corvoidea,127.0,95.5,24.5,21.8,22.9,12.9,9.7
Strepera versicolor,core_Corvoidea,268.2,220.5,62.5,39.2,62.8,21.7,23.5
Struthidea cinerea,core_Corvoidea,145.0,153.8,44.9,28.9,25.2,13.5,13.6
Tchagra australis,core_Corvoidea,73.0,83.0,25.5,17.1,20.3,11.1,7.9
Tchagra minutus,core_Corvoidea,77.0,83.0,25.5,18.8,23.7,9.5,9.1
Tchagra senegalus,core_Corvoidea,80.0,82.0,28.3,19.5,23.3,10.6,9.5
